Profile ID,Date and time (dd/mm/yyyy HH:MM AEST),Significant wave height (m),Peak wave period (s),Direction (degrees TN),Flag
PF1,1/1/2007 0:00,1.01,5.6,96,MEAS
PF1,1/1/2007 1:00,0.94,5.3,94,INTERP
PF1,1/1/2007 2:00,0.87,5,92,MEAS
PF1,1/1/2007 3:00,0.85,4.8,102,MEAS
PF1,1/1/2007 4:00,0.82,5,101,INTERP
PF1,1/1/2007 5:00,0.79,5.2,100,MEAS
PF1,1/1/2007 6:00,0.71,4.8,116,MEAS
PF1,1/1/2007 7:00,0.69,6.8,120,INTERP
PF1,1/1/2007 8:00,0.66,8.8,122,MEAS
PF1,1/1/2007 9:00,0.66,10.2,124,MEAS
PF1,1/1/2007 10:00,0.67,9.8,124,INTERP
PF1,1/1/2007 11:00,0.67,9.4,122,MEAS
PF1,1/1/2007 12:00,0.69,8.8,120,MEAS
PF1,1/1/2007 13:00,0.78,6.8,114,INTERP
PF1,1/1/2007 14:00,0.85,4.8,107,MEAS
PF1,1/1/2007 15:00,0.79,5,114,MEAS
PF1,1/1/2007 16:00,0.85,5.1,107,INTERP
PF1,1/1/2007 17:00,0.89,5.2,99,MEAS
PF1,1/1/2007 18:00,0.91,5.2,101,MEAS
PF1,1/1/2007 19:00,1.01,5.1,100,INTERP
PF1,1/1/2007 20:00,1.08,5,98,MEAS
PF1,1/1/2007 21:00,1.13,5.6,93,MEAS
PF1,1/1/2007 22:00,1.2,5.75,96,INTERP
PF1,1/1/2007 23:00,1.27,5.9,98,MEAS
PF1,2/1/2007 0:00,1.34,5.6,95,MEAS
PF1,2/1/2007 1:00,1.39,5.75,95,INTERP
PF1,2/1/2007 2:00,1.44,5.9,95,MEAS
PF1,2/1/2007 3:00,1.38,6.2,96,MEAS
PF1,2/1/2007 4:00,1.41,6.2,95,INTERP
PF1,2/1/2007 5:00,1.43,6.2,94,MEAS
PF1,2/1/2007 6:00,1.41,6.5,97,MEAS
PF1,2/1/2007 7:00,1.43,6.5,95,INTERP
PF1,2/1/2007 8:00,1.44,6.5,93,MEAS
PF1,2/1/2007 9:00,1.28,6.5,95,MEAS
PF1,2/1/2007 10:00,1.29,6.5,97,INTERP
PF1,2/1/2007 11:00,1.28,6.5,98,MEAS
PF1,2/1/2007 12:00,1.28,6.5,96,MEAS
PF1,2/1/2007 13:00,1.28,6.5,98,INTERP
PF1,2/1/2007 14:00,1.29,6.5,101,MEAS
PF1,2/1/2007 15:00,1.13,5.4,95,MEAS
PF1,2/1/2007 16:00,1.15,5.95,95,INTERP
PF1,2/1/2007 17:00,1.16,6.5,95,MEAS
PF1,2/1/2007 18:00,0.97,8.8,123,MEAS
PF1,2/1/2007 19:00,1.07,7.2,111,INTERP
PF1,2/1/2007 20:00,1.04,5.6,92,MEAS
PF1,2/1/2007 21:00,1.06,5.2,94,MEAS
PF1,2/1/2007 22:00,1.07,5.1,95,INTERP
PF1,2/1/2007 23:00,1.09,5,96,MEAS
PF1,3/1/2007 0:00,1.11,8.8,95,MEAS
PF1,3/1/2007 1:00,1.13,7.2,95,INTERP
PF1,3/1/2007 2:00,1.07,5.6,95,MEAS
PF1,3/1/2007 3:00,0.98,5,103,MEAS
PF1,3/1/2007 4:00,1,6.9,101,INTERP
PF1,3/1/2007 5:00,0.92,8.8,100,MEAS
PF1,3/1/2007 6:00,0.82,9.4,122,MEAS
PF1,3/1/2007 7:00,0.97,9.1,118,INTERP
PF1,3/1/2007 8:00,1.12,8.8,112,MEAS
PF1,3/1/2007 9:00,1.01,8.8,112,MEAS
PF1,3/1/2007 10:00,1.03,7,110,INTERP
PF1,3/1/2007 11:00,0.97,5.2,107,MEAS
PF1,3/1/2007 12:00,0.9,8.8,122,MEAS
PF1,3/1/2007 13:00,0.84,8.8,125,INTERP
PF1,3/1/2007 14:00,0.77,8.8,127,MEAS
PF1,3/1/2007 15:00,0.76,5.6,128,MEAS
PF1,3/1/2007 16:00,0.7,7.2,129,INTERP
PF1,3/1/2007 17:00,0.64,8.8,129,MEAS
PF1,3/1/2007 18:00,0.69,8.2,128,MEAS
PF1,3/1/2007 19:00,0.72,7.95,127,INTERP
PF1,3/1/2007 20:00,0.74,7.7,126,MEAS
PF1,3/1/2007 21:00,0.75,8.8,122,MEAS
PF1,3/1/2007 22:00,0.68,8.8,125,INTERP
PF1,3/1/2007 23:00,0.59,8.8,127,MEAS
PF1,4/1/2007 0:00,0.69,8.8,126,MEAS
PF1,4/1/2007 1:00,0.67,8.5,126,INTERP
PF1,4/1/2007 2:00,0.66,8.2,126,MEAS
PF1,4/1/2007 3:00,0.65,8.8,126,MEAS
PF1,4/1/2007 4:00,0.62,8.5,126,INTERP
PF1,4/1/2007 5:00,0.58,8.2,127,MEAS
PF1,4/1/2007 6:00,0.62,8.8,126,MEAS
PF1,4/1/2007 7:00,0.64,8.5,126,INTERP
PF1,4/1/2007 8:00,0.66,8.2,126,MEAS
PF1,4/1/2007 9:00,0.64,9.4,126,MEAS
PF1,4/1/2007 10:00,0.62,8.55,127,INTERP
PF1,4/1/2007 11:00,0.61,7.7,128,MEAS
PF1,4/1/2007 12:00,0.62,7.95,128,MEAS
PF1,4/1/2007 13:00,0.61,7.82,129,INTERP
PF1,4/1/2007 14:00,0.61,7.7,130,MEAS
PF1,4/1/2007 15:00,0.65,8.8,126,MEAS
PF1,4/1/2007 16:00,0.72,9.1,124,INTERP
PF1,4/1/2007 17:00,0.76,9.4,122,MEAS
PF1,4/1/2007 18:00,0.8,8.8,120,MEAS
PF1,4/1/2007 19:00,0.79,9.1,121,INTERP
PF1,4/1/2007 20:00,0.77,9.4,121,MEAS
PF1,4/1/2007 21:00,0.8,8.8,120,MEAS
PF1,4/1/2007 22:00,0.82,9.1,120,INTERP
PF1,4/1/2007 23:00,0.84,9.4,121,MEAS
PF1,5/1/2007 0:00,0.88,5.4,120,MEAS
PF1,5/1/2007 1:00,0.95,5.65,105,INTERP
PF1,5/1/2007 2:00,0.92,5.9,89,MEAS
PF1,5/1/2007 3:00,0.96,6.2,91,MEAS
PF1,5/1/2007 4:00,0.92,7.8,97,INTERP
PF1,5/1/2007 5:00,0.85,9.4,102,MEAS
PF1,5/1/2007 6:00,0.98,6.2,90,MEAS
PF1,5/1/2007 7:00,0.94,6.2,92,INTERP
PF1,5/1/2007 8:00,0.9,6.2,94,MEAS
PF1,5/1/2007 9:00,0.89,6.2,91,MEAS
PF1,5/1/2007 10:00,0.87,7.5,103,INTERP
PF1,5/1/2007 11:00,0.82,8.8,113,MEAS
PF1,5/1/2007 12:00,0.79,9.4,117,MEAS
PF1,5/1/2007 13:00,0.81,9.4,115,INTERP
PF1,5/1/2007 14:00,0.83,9.4,114,MEAS
PF1,5/1/2007 15:00,0.91,8.8,101,MEAS
PF1,5/1/2007 16:00,0.95,7.5,97,INTERP
PF1,5/1/2007 17:00,0.96,6.2,92,MEAS
PF1,5/1/2007 18:00,0.97,6.5,87,MEAS
PF1,5/1/2007 19:00,1.05,6.5,87,INTERP
PF1,5/1/2007 20:00,1.14,6.5,88,MEAS
PF1,5/1/2007 21:00,1.18,6.2,85,MEAS
PF1,5/1/2007 22:00,1.23,6.55,88,INTERP
PF1,5/1/2007 23:00,1.25,6.9,91,MEAS
PF1,6/1/2007 0:00,1.26,6.9,91,MEAS
PF1,6/1/2007 1:00,1.27,7.1,90,INTERP
